"","RAZZ_105_P1","RAZZ_110_P1","RAZZ_116_P1","RAZZ_127_P1","RAZZ_130_P1","RAZZ_137_P1","RAZZ_143_P1","RAZZ_157_P1","RAZZ_163_P1","RAZZ_166_P1","RAZZ_169_P1","RAZZ_199_P1","RAZZ_202_P1","RAZZ_203_P1","RAZZ_218_P1","RAZZ_223_P1","RAZZ_238_P1","RAZZ_241_P1","RAZZ_246_P1","RAZZ_247_P1","RAZZ_251_P1","RAZZ_258_P1","RAZZ_277_P1","RAZZ_287_P1","RAZZ_320_P1","RAZZ_338_P1","RAZZ_348_P1","RAZZ_352_P1","RAZZ_359_P1","RAZZ_360_P1","RAZZ_369_P1","RAZZ_379_P1","RAZZ_389_P1","RAZZ_419_P1","RAZZ_429_P1","RAZZ_447_P1","RAZZ_460_P1","RAZZ_462_P1"
"iDC",0.0220423467332866,0.0233041631591176,2.78456269339959e-18,3.71771377616277e-18,0.0144855375741747,5.14351084938323e-18,0.0157386510773668,2.3140887062778e-19,0.0135590832586903,1.14131267858781e-17,9.67323977683731e-19,0.0303606317014124,0,0.0372638984183507,0.067648852343617,0.03481433002615,0,0,4.20702896478349e-18,0,7.18973619674015e-18,0.0337310574174871,6.00612255517412e-18,3.90145946293462e-18,4.53512092816278e-18,0.0302608153937356,0,0.0169537161571023,1.1139129414592e-17,4.6110664920828e-18,0.0221263421501787,4.57413918735312e-18,0.0451578129678066,0,0,3.93819541746789e-18,0,0
"Keratinocytes",2.2121360150822e-19,0,0,0,9.49299979165206e-19,7.41451446128621e-20,0,6.35769172712058e-20,1.3090565237413e-19,0,7.51073446398733e-20,3.69284244248983e-19,0,3.84901674782059e-19,0,0,0,0,3.34829870853381e-21,2.35800622441928e-19,0.00108349045744863,0,0,1.04853679324761e-19,0.00251535257155094,0,9.22373260588779e-19,0,2.41139786198327e-19,0,8.28912224310647e-19,1.53321664709461e-19,9.55904982181757e-22,1.43516110329339e-19,0,8.28303839734975e-19,9.68866507424958e-19,0
"ly Endothelial cells",0,2.33013040815017e-18,4.20786101526985e-19,2.4904166962122e-19,0.000720484057539459,0,0,0,0,0.000201392687497969,5.1193973202923e-19,0,1.08133503515102e-18,3.31676163881851e-19,0,0.0216824418838426,0.00299053388075703,1.94671673074735e-18,0,1.50454139427977e-18,5.63587374202874e-20,0,8.71830652493591e-19,0.000402988096034559,0.00227192817959734,0.0145781269326314,0,3.6487726718098e-19,4.25510939837216e-19,6.01343748980107e-20,0,0.0159467617228281,0,3.31107141696568e-19,0,0,0,0
"Macrophages",0,0,4.89472015206434e-21,0,0,1.05876758923268e-18,0.00394170548821347,0,0,1.89120948859746e-18,0,0,7.51320415250002e-20,0.00191180924240416,0.00653395619613216,1.04789290649138e-18,0,2.72651959730106e-20,0,0,2.62607720392145e-18,0.00638773662430855,0,0,3.66194809895779e-18,0.000902210693327572,2.91130626494616e-19,0,9.54272483480292e-19,0,2.55500923305236e-19,3.4347026324952e-20,1.69332894942073e-20,0,1.07938142505021e-19,1.27570928884439e-19,0.00298919521762808,0
"Macrophages M1",0.00313926715165269,1.6579854212139e-19,5.03183167839592e-20,4.84563306864025e-19,0,1.4865448639608e-18,0.00044720206123745,0.0131658931044728,0.00128093583568234,5.91855800168609e-19,3.02735540751039e-18,0.000320251993071057,0.00299096360579982,0,0.0264703781594792,0.00406586997001117,0,0,0.00159879157935791,0.000539008123246207,0,6.05505866341803e-19,0,5.75002468067968e-05,2.5836144329764e-19,0,0.00271615312121973,0.00143396402470808,1.60998887233467e-18,0,3.11045569686515e-19,7.41135230925299e-19,0,0,0,0.00925449105295678,0.00747829311940666,1.23483984842591e-19
"Macrophages M2",0.0147191331027914,0.00225631571676935,0.0164685010856747,0.0132967290396002,0.0295407792091029,0.00690126167693002,0.00582550755888477,0.0116691629437629,0.00112605960682451,5.73277558897718e-18,0.00296356723832153,0.00155958600839709,0.00881335479906019,0.0173561898465688,0.0248753969619443,0.00288462440104739,0,0.0232463591497883,0.00204224269651694,0.0259421631014357,7.92520987431763e-20,0.0140863266543744,0.0156725456967829,0.0104158760556779,0.000354863604850329,0.0116633951844091,3.85201343252003e-21,0.00490748738095714,0.0211943795217375,0.0137209253223972,0.00885692790475644,0.00872747533255972,0.0235444237545632,0.0119010003979458,0.0149774352658123,0.0229578385723654,0.0204667355838828,0.0102929235167522
"Mast cells",3.58771169489549e-19,0.0119700342731503,0.0137487827186751,0.00568635158829844,0,0.00600235179580177,0,0.00841347747302093,0,0,0.00174792314923758,0.00821431686851473,0.00594658111695252,0,0,0,0.00785971718638214,0.00357741271807437,0.00494401010597352,0.00272612621990778,0.0189947702651584,0,0,0.00499994409878611,0.0203370022125446,2.1732279595347e-17,0.00104558614667445,0.0121279429891449,0,0.00519701139580294,0.000541321085616271,3.58639300008136e-18,0.0079124580339625,0,0,0.00190819383603906,0.000597322310465422,0.00223123806515348
"Megakaryocytes",0.000600809738991805,0.00135946761545886,0.00131815331008865,0.00142103817231662,0.0180045437611775,8.50041474324019e-06,0,0,0.0041844369988967,0.0249102978385988,0.000108207632665946,0,0.00323313484326098,0,0.0030146294547924,0.0150066059352058,0.00270705415185515,5.96881621866827e-21,1.34259397128056e-19,0,0.00952857640914292,0.00159002359720335,0.00244297544181997,0.000518608251492696,0.00910604440829177,0.030695290352678,0.00266557810787678,0.000170315909725001,0.000504414094776965,0.00111338599528888,0,0.0470328574726541,0.00128731881432234,0.000782509484344072,0.000571007968766091,0.00238819043856691,0.00731266336652707,0.00312379614125251
"Melanocytes",0.000212043256130271,2.59559076166305e-21,0.000838938515730801,0.000422403374932923,0.0245744290289703,0.000662804817654361,3.04660054109446e-21,0.00145156594855628,2.02487860417974e-20,0.00541178371271115,0.00246940341630941,0.0013308413656495,0.000434930771075078,0.000409316362758744,0.000895586388042079,0,0.000379379859851878,6.8208912704714e-22,0.001055828775096,1.30750776584469e-20,0.00343171239226946,0.0124919554064511,0.000465331127904801,0,0.0170851244346538,0.0201265273755644,0.00117512263788007,0.000313427541307799,0.000418815833997715,0.000321641341544976,0,0.0173044529300291,0,0.000893910937163065,0,0,0.00163367331842733,0.000843640868611955
"Memory B-cells",0.0943073991236286,0.0773554972230281,0.0983590637546867,0.0856500707962261,0.0127689558676054,0.0584177417252569,0.0290496558172124,0.0645178643054937,0.0570453747627415,1.98247106343318e-17,0.0274333513231396,0.0572467039903108,0.0973558771940431,0.102573660491464,0.105323816130584,1.67462942418412e-18,0.0554445650787578,0.125669012214906,0.0515526218157907,0.0813837316141405,1.34895627087667e-18,9.35109039110764e-18,7.63591610322477e-20,0.160782486102818,5.43211861828083e-18,1.28288306555814e-17,0.0521760195255171,0.0695115380205007,0.122481533173248,0.0953932826518761,0.0695017298841723,0.00687983209019259,0.109497152779095,0.110201970023135,0.101234774573626,8.5628060191485e-18,0.0508601903835153,0.0988274522174156
"MEP",0.0413664740963695,0.0479753781206904,0.0302515026662701,0.0357790564646456,6.76885408066552e-20,0.0414962317232288,0,0.0383319100582806,0.0428453390012508,0.0269139447874417,0.0304815435711307,0.0345205219174603,0.0425097508149673,0.0450588160112965,0.0271235014783349,0.0181569598077582,0.043279709997011,0.0394624372163693,0.0602523840964896,0.0354456650556512,0.00373444044462827,0,0.0361850682449529,0.0247086534073994,0,6.07557053224934e-18,0.0650142442201222,0.0395273125277091,0.0264348951922146,0.0149359690588434,0,4.08084357919138e-17,0.0143461183906185,0.0270090800226208,0.0249166261241903,0.0267947874493328,0.0463094271937541,0.0297529030050675
"Mesangial cells",0,0,0,0,0,1.29220900343782e-17,0,3.65020599607029e-18,0,0,0,0,0,4.43804051610498e-18,0,0,0,0,8.98975090795425e-19,0,1.19204334028217e-18,7.7507398589309e-18,3.06821864846462e-18,3.00065718100016e-18,0.035001927216582,0.00213776361931077,1.37499312355379e-18,3.1672531917781e-18,1.78138426106799e-17,4.30875494932957e-18,0,0.0523950761038403,0,0,0,0,0,0
"Monocytes",6.37577664670921e-19,0,0.0464145333034729,0.0560756131271782,0.000464409339962485,0.0294171727894408,0.0114667715226353,1.38193283692293e-18,0.0920571914717801,0,0.00564117560387298,0.0474698461377851,0.1138457463793,0.0261656895660739,0.0782540144098681,0,0.0150817768741705,0.0225935196804662,1.01239322444833e-18,0.0101035139413773,3.18957584816159e-18,0.0118164012712789,0.00316899376529037,0.0227391338057751,0.00725692584579908,0.00304221349744314,3.72829676782241e-18,0.0359434752484511,1.77929313123112e-20,0.0483713447789862,1.03868255718839e-18,3.44299814737787e-19,0.0144969170461942,0,0.00187297501864932,0.0324475754851822,0.0635106852122803,0
"MPP",1.55480587944654e-17,0,0,3.47998777952437e-18,1.55860884557995e-18,3.79678336656313e-18,0,0,0,0,1.06598631737504e-18,0,0,1.29499819659954e-18,9.08875482777857e-18,0,0,8.13512545869785e-18,0,4.43308169383298e-18,3.96830103049023e-17,0.00817724405901592,4.90123583119237e-18,0.00111588177695849,1.04907359064564e-17,3.7961600199031e-17,0,0,0,0,0,3.60338636723835e-19,7.57501080213944e-18,0,1.34074798579294e-18,2.27382386401701e-18,2.48810512950849e-18,3.7029998449909e-17
