"","RAZZ_105_P1","RAZZ_110_P1","RAZZ_116_P1","RAZZ_127_P1","RAZZ_130_P1","RAZZ_137_P1","RAZZ_143_P1","RAZZ_157_P1","RAZZ_163_P1","RAZZ_166_P1","RAZZ_169_P1","RAZZ_199_P1","RAZZ_202_P1","RAZZ_203_P1","RAZZ_218_P1","RAZZ_223_P1","RAZZ_238_P1","RAZZ_241_P1","RAZZ_246_P1","RAZZ_247_P1","RAZZ_251_P1","RAZZ_258_P1","RAZZ_277_P1","RAZZ_287_P1","RAZZ_320_P1","RAZZ_338_P1","RAZZ_348_P1","RAZZ_352_P1","RAZZ_359_P1","RAZZ_360_P1","RAZZ_369_P1","RAZZ_379_P1","RAZZ_389_P1","RAZZ_419_P1","RAZZ_429_P1","RAZZ_447_P1","RAZZ_460_P1","RAZZ_462_P1"
"Fibroblasts",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.27301,1,1,1,1,1,1,1,1,1,0.26105,1,1,1,1,1,1,1,1,1,1,1,1
"GMP",1,1,0.548683333333333,0.360173333333333,0.0938666666666667,1,0.154213333333333,1,0.41274,0.94354,1,0.50782,1,1,0.10246,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0.49541,0,0,1,1,1,1,1,1
"Hepatocytes",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HSC",0.474573333333333,0.481813333333333,0.59198,0.66126,0.000966666666666671,0.685923333333333,0.42234,0.2418,0.621216666666667,0.005,0.64185,0.72399,0.8364,0.46926,0.803446666666667,0.00304666666666664,0.660846666666667,0.5784,0.429123333333333,1,0.112213333333333,0.19761,0.674983333333333,1,0.08766,9.33333333332786e-05,0.372636666666667,0.554796666666667,0.82709,1,0.309463333333333,0.0442633333333333,1,0.841366666666667,0.67019,1,0.555883333333333,0.452136666666667
"iDC",0.534623333333333,0.523703333333333,1,1,0.609086666666667,1,0.59501,1,0.619713333333333,1,1,0.4692,1,0.42347,0.278416666666667,0.438766666666667,1,1,1,1,1,0.44619,1,1,1,0.469956666666667,1,0.582213333333333,1,1,0.533866666666667,1,0.378143333333333,1,1,1,1,1
"Keratinocytes",0.333333333333333,1,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0.333333333333333,1,1,1,1,0.333333333333333,0.333333333333333,0.23226,1,1,0.333333333333333,0.10714,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1
"ly Endothelial cells",1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,1,1,1,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0,0,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0,0,1,0.666666666666667,0.666666666666667,0.666666666666667,1,0,1,0.666666666666667,1,1,1,1
"Macrophages",1,1,0.666666666666667,1,1,0.666666666666667,0.201426666666667,1,1,0.666666666666667,1,1,0.666666666666667,0.366596666666667,0.0859366666666667,0.666666666666667,1,0.666666666666667,1,1,0.666666666666667,0.0904700000000001,1,1,0.666666666666667,0.491576666666667,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.26839,1
"Macrophages M1",0.149206666666667,1,1,1,1,1,0.925693333333333,0,0.41389,1,1,0.952073333333333,0.163336666666667,1,0,0.0809433333333334,1,1,0.354013333333333,0.90592,1,1,1,0.995856666666667,1,1,0.192536666666667,0.384226666666667,1,1,1,1,1,1,1,0,0.00209666666666664,1
"Macrophages M2",0.177856666666667,0.51389,0.159456666666667,0.195896666666667,0.0722433333333333,0.329533333333333,0.363613333333333,0.2203,0.578906666666667,0.666666666666667,0.47847,0.552043333333333,0.27844,0.151036666666667,0.09798,0.482153333333333,1,0.10823,0.524893333333333,0.0918133333333333,0.666666666666667,0.185426666666667,0.167463333333333,0.243183333333333,0.6325,0.220416666666667,0.666666666666667,0.39664,0.121746666666667,0.190033333333333,0.277456666666667,0.280483333333333,0.106276666666667,0.21665,0.174966666666667,0.110083333333333,0.12652,0.245813333333333
